,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position
746,Abilene Christian University Master TEXAS,"$89,000",1.2%,66,"$107,300",90.4,1591
1695,Abilene Christian University Master TEXAS,"$71,400",0.4%,85,"$87,800",89.6,1596
2644,Abilene Christian University Master TEXAS,"$67,400",2.5%,55,"$81,600",96.1,1601
3593,Abilene Christian University Master TEXAS,"$54,400",1.5%,44,"$71,300",100.0,1606
85,Adams State University Baccalaureate COLORADO,"$65,600",-0.3%,33,"$67,700",94.8,1591
1032,Adams State University Baccalaureate COLORADO,"$56,100",3.5%,15,"$57,800",105.6,1596
1981,Adams State University Baccalaureate COLORADO,"$50,600",,24,"$52,400",105.6,1601
2930,Adams State University Baccalaureate COLORADO,$0,,0,-,,1606
449,Adelphi University Doctoral NEW YORK,"$143,000",2.3%,86,"$185,300",91.7,1591
1396,Adelphi University Doctoral NEW YORK,"$107,900",2.5%,129,"$142,200",94.4,1596
2345,Adelphi University Doctoral NEW YORK,"$86,000",2.9%,66,"$108,400",102.0,1601
3294,Adelphi University Doctoral NEW YORK,"$70,000",3.0%,6,"$83,500",103.6,1606
349,Adrian College Baccalaureate MICHIGAN,"$85,400",,28,-,96.8,1591
1296,Adrian College Baccalaureate MICHIGAN,"$70,100",,29,-,98.7,1596
2245,Adrian College Baccalaureate MICHIGAN,"$62,300",,35,-,102.2,1601
3194,Adrian College Baccalaureate MICHIGAN,$0,,3,-,112.2,1606
139,Agnes Scott College Baccalaureate GEORGIA,"$96,800",1.1%,37,"$125,800",101.3,1591
1086,Agnes Scott College Baccalaureate GEORGIA,"$77,800",2.4%,21,"$102,300",95.9,1596
2035,Agnes Scott College Baccalaureate GEORGIA,"$68,200",2.7%,18,"$88,200",104.7,1601
2984,Agnes Scott College Baccalaureate GEORGIA,"$52,500",0.0%,4,"$68,600",106.7,1606
95,Albertus Magnus College Baccalaureate CONNECTICUT,"$67,200",,21,"$89,200",112.2,1591
1042,Albertus Magnus College Baccalaureate CONNECTICUT,"$55,700",,9,"$72,200",95.5,1596
1991,Albertus Magnus College Baccalaureate CONNECTICUT,"$57,800",,9,"$68,500",96.8,1601
2940,Albertus Magnus College Baccalaureate CONNECTICUT,$0,1.2%,1,-,,1606
350,Albion College Baccalaureate MICHIGAN,"$77,500",0.9%,57,"$102,600",101.8,1591
1297,Albion College Baccalaureate MICHIGAN,"$64,900",3.6%,21,"$88,600",97.4,1596
2246,Albion College Baccalaureate MICHIGAN,"$56,200",4.6%,31,"$74,000",94.8,1601
3195,Albion College Baccalaureate MICHIGAN,"$43,900",2.0%,4,"$62,400",105.9,1606
634,Albright College Baccalaureate PENNSYLVANIA,"$80,500",,20,"$95,400",98.8,1591
1582,Albright College Baccalaureate PENNSYLVANIA,"$68,900",,40,"$82,500",103.4,1596
2531,Albright College Baccalaureate PENNSYLVANIA,"$61,600",,36,"$75,800",93.7,1601
3480,Albright College Baccalaureate PENNSYLVANIA,"$50,300",,17,"$62,800",101.8,1606
635,Allegheny College Baccalaureate PENNSYLVANIA,"$94,500",1.0%,54,"$128,300",93.0,1591
1583,Allegheny College Baccalaureate PENNSYLVANIA,"$71,100",1.1%,50,"$95,000",99.0,1596
2532,Allegheny College Baccalaureate PENNSYLVANIA,"$64,400",1.0%,35,"$85,100",98.6,1601
3481,Allegheny College Baccalaureate PENNSYLVANIA,"$55,500",4.2%,28,"$76,600",94.9,1606
226,Allen College Master IOWA,"$80,900",2.5%,11,"$112,800",,1591
1173,Allen College Master IOWA,"$66,700",5.7%,9,"$84,300",94.0,1596
2122,Allen College Master IOWA,"$56,500",4.1%,21,"$91,300",104.6,1601
3071,Allen College Master IOWA,$0,2.5%,2,-,,1606
351,Alma College Baccalaureate MICHIGAN,"$78,100",0.1%,29,"$104,200",92.0,1591
1298,Alma College Baccalaureate MICHIGAN,"$68,700",3.6%,24,"$94,900",100.2,1596
2247,Alma College Baccalaureate MICHIGAN,"$59,900",2.1%,27,"$80,300",101.5,1601
3196,Alma College Baccalaureate MICHIGAN,"$49,300",4.0%,19,"$62,200",110.0,1606
636,Alvernia University Baccalaureate PENNSYLVANIA,"$80,900",0.1%,9,"$108,800",92.0,1591
1584,Alvernia University Baccalaureate PENNSYLVANIA,"$70,400",3.0%,41,"$94,300",100.0,1596
2533,Alvernia University Baccalaureate PENNSYLVANIA,"$62,900",4.8%,41,"$87,400",112.7,1601
3482,Alvernia University Baccalaureate PENNSYLVANIA,"$52,700",1.6%,20,"$72,800",113.7,1606
109,American University Doctoral DISTRICT OF COLUMBIA,"$166,400",0.9%,186,"$204,500",96.0,1591
1056,American University Doctoral DISTRICT OF COLUMBIA,"$108,400",4.3%,161,"$136,800",104.5,1596
2005,American University Doctoral DISTRICT OF COLUMBIA,"$87,600",4.8%,152,"$110,000",91.5,1601
2954,American University Doctoral DISTRICT OF COLUMBIA,"$72,300",5.3%,294,"$90,600",87.0,1606
312,Amherst College Baccalaureate MASSACHUSETTS,"$151,000",2.8%,85,"$196,700",92.3,1591
1259,Amherst College Baccalaureate MASSACHUSETTS,"$108,200",5.1%,29,"$144,200",110.1,1596
2208,Amherst College Baccalaureate MASSACHUSETTS,"$88,900",4.1%,46,"$118,000",101.6,1601
3157,Amherst College Baccalaureate MASSACHUSETTS,$0,2.5%,1,-,,1606
747,Angelo State University Master TEXAS,"$81,000",0.2%,81,"$99,300",103.2,1591
1696,Angelo State University Master TEXAS,"$71,000",1.1%,50,"$87,300",90.1,1596
2645,Angelo State University Master TEXAS,"$62,600",1.1%,75,"$78,200",89.0,1601
3594,Angelo State University Master TEXAS,"$46,000",,76,"$60,300",102.0,1606
529,Appalachian State University Master NORTH CAROLINA,"$97,800",2.2%,298,"$125,300",93.1,1591
1476,Appalachian State University Master NORTH CAROLINA,"$78,900",2.7%,232,"$101,900",95.8,1596
2425,Appalachian State University Master NORTH CAROLINA,"$69,100",2.6%,206,"$89,300",97.8,1601
3374,Appalachian State University Master NORTH CAROLINA,$0,1.6%,3,-,95.8,1606
352,Aquinas College Baccalaureate MICHIGAN,"$62,100",0.6%,20,"$83,500",94.6,1591
1299,Aquinas College Baccalaureate MICHIGAN,"$55,300",11.2%,38,"$76,900",98.8,1596
2248,Aquinas College Baccalaureate MICHIGAN,"$51,700",5.6%,26,"$66,000",93.2,1601
3197,Aquinas College Baccalaureate MICHIGAN,$0,,0,-,,1606
13,Arizona State University-Downtown Phoenix Master ARIZONA,"$129,800",1.7%,121,"$172,400",75.6,1591
960,Arizona State University-Downtown Phoenix Master ARIZONA,"$89,300",3.4%,105,"$117,800",90.7,1596
1909,Arizona State University-Downtown Phoenix Master ARIZONA,"$71,900",3.6%,105,"$99,800",92.9,1601
2858,Arizona State University-Downtown Phoenix Master ARIZONA,"$46,200",8.6%,94,"$66,600",102.5,1606
14,Arizona State University-Polytechnic Master ARIZONA,"$125,700",2.5%,23,"$164,800",115.3,1591
961,Arizona State University-Polytechnic Master ARIZONA,"$91,600",2.3%,44,"$119,700",89.8,1596
1910,Arizona State University-Polytechnic Master ARIZONA,"$81,100",3.7%,42,"$106,200",90.4,1601
2859,Arizona State University-Polytechnic Master ARIZONA,"$45,500",10.2%,37,"$65,800",100.7,1606
15,Arizona State University-Tempe Doctoral ARIZONA,"$146,100",2.1%,622,"$183,300",91.2,1591
962,Arizona State University-Tempe Doctoral ARIZONA,"$103,200",3.1%,468,"$133,000",93.4,1596
1911,Arizona State University-Tempe Doctoral ARIZONA,"$90,300",3.3%,465,"$118,100",86.5,1601
