,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
0,Abilene Christian University ,89000,1.2,66.0,107300.0,90.4,P,TEXAS,Master
1,Abilene Christian University ,71400,0.4,85.0,87800.0,89.6,AP,TEXAS,Master
2,Abilene Christian University ,67400,2.5,55.0,81600.0,96.1,aP,TEXAS,Master
3,Abilene Christian University ,54400,1.5,44.0,71300.0,100.0,I,TEXAS,Master
4,Adams State University ,65600,-0.3,33.0,67700.0,94.8,P,COLORADO,Baccalaureate
5,Adams State University ,56100,3.5,15.0,57800.0,105.6,AP,COLORADO,Baccalaureate
6,Adams State University ,50600,,24.0,52400.0,105.6,aP,COLORADO,Baccalaureate
7,Adams State University ,0,,0.0,,,I,COLORADO,Baccalaureate
8,Adelphi University ,143000,2.3,86.0,185300.0,91.7,P,YORK,Doctor
9,Adelphi University ,107900,2.5,129.0,142200.0,94.4,AP,YORK,Doctor
10,Adelphi University ,86000,2.9,66.0,108400.0,102.0,aP,YORK,Doctor
11,Adelphi University ,70000,3.0,6.0,83500.0,103.6,I,YORK,Doctor
12,Adrian College ,85400,,28.0,,96.8,P,MICHIGAN,Baccalaureate
13,Adrian College ,70100,,29.0,,98.7,AP,MICHIGAN,Baccalaureate
14,Adrian College ,62300,,35.0,,102.2,aP,MICHIGAN,Baccalaureate
15,Adrian College ,0,,3.0,,112.2,I,MICHIGAN,Baccalaureate
16,Agnes Scott College ,96800,1.1,37.0,125800.0,101.3,P,GEORGIA,Baccalaureate
17,Agnes Scott College ,77800,2.4,21.0,102300.0,95.9,AP,GEORGIA,Baccalaureate
18,Agnes Scott College ,68200,2.7,18.0,88200.0,104.7,aP,GEORGIA,Baccalaureate
19,Agnes Scott College ,52500,0.0,4.0,68600.0,106.7,I,GEORGIA,Baccalaureate
20,Albertus Magnus College ,67200,,21.0,89200.0,112.2,P,CONNECTICUT,Baccalaureate
21,Albertus Magnus College ,55700,,9.0,72200.0,95.5,AP,CONNECTICUT,Baccalaureate
22,Albertus Magnus College ,57800,,9.0,68500.0,96.8,aP,CONNECTICUT,Baccalaureate
23,Albertus Magnus College ,0,1.2,1.0,,,I,CONNECTICUT,Baccalaureate
24,Albion College ,77500,0.9,57.0,102600.0,101.8,P,MICHIGAN,Baccalaureate
25,Albion College ,64900,3.6,21.0,88600.0,97.4,AP,MICHIGAN,Baccalaureate
26,Albion College ,56200,4.6,31.0,74000.0,94.8,aP,MICHIGAN,Baccalaureate
27,Albion College ,43900,2.0,4.0,62400.0,105.9,I,MICHIGAN,Baccalaureate
28,Albright College ,80500,,20.0,95400.0,98.8,P,PENNSYLVANIA,Baccalaureate
29,Albright College ,68900,,40.0,82500.0,103.4,AP,PENNSYLVANIA,Baccalaureate
30,Albright College ,61600,,36.0,75800.0,93.7,aP,PENNSYLVANIA,Baccalaureate
31,Albright College ,50300,,17.0,62800.0,101.8,I,PENNSYLVANIA,Baccalaureate
32,Allegheny College ,94500,1.0,54.0,128300.0,93.0,P,PENNSYLVANIA,Baccalaureate
33,Allegheny College ,71100,1.1,50.0,95000.0,99.0,AP,PENNSYLVANIA,Baccalaureate
34,Allegheny College ,64400,1.0,35.0,85100.0,98.6,aP,PENNSYLVANIA,Baccalaureate
35,Allegheny College ,55500,4.2,28.0,76600.0,94.9,I,PENNSYLVANIA,Baccalaureate
36,Allen College ,80900,2.5,11.0,112800.0,,P,IOWA,Master
37,Allen College ,66700,5.7,9.0,84300.0,94.0,AP,IOWA,Master
38,Allen College ,56500,4.1,21.0,91300.0,104.6,aP,IOWA,Master
39,Allen College ,0,2.5,2.0,,,I,IOWA,Master
40,Alma College ,78100,0.1,29.0,104200.0,92.0,P,MICHIGAN,Baccalaureate
41,Alma College ,68700,3.6,24.0,94900.0,100.2,AP,MICHIGAN,Baccalaureate
42,Alma College ,59900,2.1,27.0,80300.0,101.5,aP,MICHIGAN,Baccalaureate
43,Alma College ,49300,4.0,19.0,62200.0,110.0,I,MICHIGAN,Baccalaureate
44,Alvernia University ,80900,0.1,9.0,108800.0,92.0,P,PENNSYLVANIA,Baccalaureate
45,Alvernia University ,70400,3.0,41.0,94300.0,100.0,AP,PENNSYLVANIA,Baccalaureate
46,Alvernia University ,62900,4.8,41.0,87400.0,112.7,aP,PENNSYLVANIA,Baccalaureate
47,Alvernia University ,52700,1.6,20.0,72800.0,113.7,I,PENNSYLVANIA,Baccalaureate
48,American University ,166400,0.9,186.0,204500.0,96.0,P,COLUMBIA,Doctor
49,American University ,108400,4.3,161.0,136800.0,104.5,AP,COLUMBIA,Doctor
50,American University ,87600,4.8,152.0,110000.0,91.5,aP,COLUMBIA,Doctor
51,American University ,72300,5.3,294.0,90600.0,87.0,I,COLUMBIA,Doctor
52,Amherst College ,151000,2.8,85.0,196700.0,92.3,P,MASSACHUSETTS,Baccalaureate
53,Amherst College ,108200,5.1,29.0,144200.0,110.1,AP,MASSACHUSETTS,Baccalaureate
54,Amherst College ,88900,4.1,46.0,118000.0,101.6,aP,MASSACHUSETTS,Baccalaureate
55,Amherst College ,0,2.5,1.0,,,I,MASSACHUSETTS,Baccalaureate
56,Angelo State University ,81000,0.2,81.0,99300.0,103.2,P,TEXAS,Master
57,Angelo State University ,71000,1.1,50.0,87300.0,90.1,AP,TEXAS,Master
58,Angelo State University ,62600,1.1,75.0,78200.0,89.0,aP,TEXAS,Master
59,Angelo State University ,46000,,76.0,60300.0,102.0,I,TEXAS,Master
60,Appalachian State University ,97800,2.2,298.0,125300.0,93.1,P,CAROLINA,Master
61,Appalachian State University ,78900,2.7,232.0,101900.0,95.8,AP,CAROLINA,Master
62,Appalachian State University ,69100,2.6,206.0,89300.0,97.8,aP,CAROLINA,Master
63,Appalachian State University ,0,1.6,3.0,,95.8,I,CAROLINA,Master
64,Aquinas College ,62100,0.6,20.0,83500.0,94.6,P,MICHIGAN,Baccalaureate
